Facility,facility_id,Tracing Catchment
 Khombedza Health Centre,99771,Kagaula
 Khombedza Health Centre,99771,Jekapu
 Khombedza Health Centre,99771,Simoni
 Khombedza Health Centre,99771,Dambe
 Khombedza Health Centre,99771,Malingizanjati
 Khombedza Health Centre,99771,Jonasi
 Khombedza Health Centre,99771,Chimphuno
 Khombedza Health Centre,99771,Chibisa
 Khombedza Health Centre,99771,Yoweri
 Khombedza Health Centre,99771,Jolamu
 Khombedza Health Centre,99771,Mphezewa
 Khombedza Health Centre,99771,Yoseke
 Khombedza Health Centre,99771,Guwende
 Khombedza Health Centre,99771,Scheme 1
 Khombedza Health Centre,99771,Nkhwali
 Khombedza Health Centre,99771,Sangwa
 Khombedza Health Centre,99771,Namachete
 Khombedza Health Centre,99771,Matumba
 Khombedza Health Centre,99771,Katundu
 Khombedza Health Centre,99771,Lumwira
 Khombedza Health Centre,99771,Mankhwazi
 Khombedza Health Centre,99771,Thukwi
 Khombedza Health Centre,99771,Kaluzi
 Khombedza Health Centre,99771,Zingale
 Khombedza Health Centre,99771,Kafathandala
 Khombedza Health Centre,99771,Kankhalamba
 Khombedza Health Centre,99771,Kalombodza
 Khombedza Health Centre,99771,Katole
 Khombedza Health Centre,99771,Katangala
 Khombedza Health Centre,99771,Kamphinda
 Khombedza Health Centre,99771,Malenga
 Khombedza Health Centre,99771,Chiwala
 Khombedza Health Centre,99771,James
 Khombedza Health Centre,99771,Mlesi
 Khombedza Health Centre,99771,Kanjelewende
 Khombedza Health Centre,99771,Mbawa
 Khombedza Health Centre,99771,Nkhukutsekele
 Khombedza Health Centre,99771,Nyankhwa
 Khombedza Health Centre,99771,Phale
 Khombedza Health Centre,99771,Kabwabwa
 Khombedza Health Centre,99771,Mtekeso 2
 Khombedza Health Centre,99771,Chinseu
 Khombedza Health Centre,99771,Chisekese
 Khombedza Health Centre,99771,Chononga
 Khombedza Health Centre,99771,Kapunzila
 Khombedza Health Centre,99771,Mkuwazi
 Khombedza Health Centre,99771,Kamphonje 1 and 2
 Khombedza Health Centre,99771,Kanyawile
 Khombedza Health Centre,99771,Mangile chiluwe
 Khombedza Health Centre,99771,Mangile
 Khombedza Health Centre,99771,Nyundo
 Khombedza Health Centre,99771,Lefasi
 Khombedza Health Centre,99771,Chimphanga
 Khombedza Health Centre,99771,Nkholozawombana
 Khombedza Health Centre,99771,Witman
 Khombedza Health Centre,99771,Chimphanga
 Khombedza Health Centre,99771,Mnungu 1
 Khombedza Health Centre,99771,Mnungu 2
 Khombedza Health Centre,99771,Chikuwa
 Khombedza Health Centre,99771,Chikwasa
 Khombedza Health Centre,99771,Mbaisa
 Khombedza Health Centre,99771,Julius
 Khombedza Health Centre,99771,Chibungwe
 Khombedza Health Centre,99771,Cheminati
 Khombedza Health Centre,99771,Sitifano
 Khombedza Health Centre,99771,Belasi
 Khombedza Health Centre,99771,Sikoti
 Khombedza Health Centre,99771,Mathende
 Khombedza Health Centre,99771,Makalani
 Khombedza Health Centre,99771,Chabwazi
 Khombedza Health Centre,99771,Lusitala
 Khombedza Health Centre,99771,Chidzaye
 Khombedza Health Centre,99771,Khwanya
 Khombedza Health Centre,99771,Zindondo
 Khombedza Health Centre,99771,Nanseta
 Khombedza Health Centre,99771,Yoseke
 Khombedza Health Centre,99771,Zefaniya
 Khombedza Health Centre,99771,Jemitala
 Khombedza Health Centre,99771,Chamazai
 Khombedza Health Centre,99771,Kapangazina
 Khombedza Health Centre,99771,Kayiwala
 Khombedza Health Centre,99771,Sainani
 Khombedza Health Centre,99771,Chamaza 2
 Khombedza Health Centre,99771,Sikenala
 Khombedza Health Centre,99771,Bitoni
 Khombedza Health Centre,99771,Chimala
 Khombedza Health Centre,99771,Chigoba 1
 Khombedza Health Centre,99771,Chigoba 2
 Khombedza Health Centre,99771,Chakwawa
 Khombedza Health Centre,99771,Fungulani
 Khombedza Health Centre,99771,Gulure
 Khombedza Health Centre,99771,Kamchepera
 Khombedza Health Centre,99771,Dziwe
 Khombedza Health Centre,99771,Chiwaya
 Khombedza Health Centre,99771,Zaliya
 Khombedza Health Centre,99771,Kasache
 Khombedza Health Centre,99771,Zelemani
 Khombedza Health Centre,99771,Chalunda
 Khombedza Health Centre,99771,Kagaula
 Khombedza Health Centre,99771,Nyangulu
 Khombedza Health Centre,99771,Manguwale
 Khombedza Health Centre,99771,Mpiringidzo
 Khombedza Health Centre,99771,Kajoda
 Khombedza Health Centre,99771,Kachitchezo
 Khombedza Health Centre,99771,Sompho
 Khombedza Health Centre,99771,Chidzaye
 Khombedza Health Centre,99771,Matchakaza
 Khombedza Health Centre,99771,Kachere 1
 Khombedza Health Centre,99771,Kachere 2
 Khombedza Health Centre,99771,Lefani
 Khombedza Health Centre,99771,Dambuleni
 Khombedza Health Centre,99771,Mzizi
 Khombedza Health Centre,99771,Mkungulima
 Khombedza Health Centre,99771,Mayingwe
 Khombedza Health Centre,99771,Chiwundo
 Khombedza Health Centre,99771,Tambala
 Khombedza Health Centre,99771,Tambala 2
 Khombedza Health Centre,99771,Tambala 3
 Khombedza Health Centre,99771,Yonamu
 Khombedza Health Centre,99771,Mnyanje
 Khombedza Health Centre,99771,Matala
 Khombedza Health Centre,99771,Chitepete
 Khombedza Health Centre,99771,Ngondo
 Khombedza Health Centre,99771,Kalimpentala 1
 Khombedza Health Centre,99771,Kalimpentala 2
 Khombedza Health Centre,99771,Mausande
 Khombedza Health Centre,99771,Kankhumbi
 Khombedza Health Centre,99771,Temani
 Khombedza Health Centre,99771,Kumdika
 Khombedza Health Centre,99771,Chiiku
 Khombedza Health Centre,99771,Chinganyama
 Khombedza Health Centre,99771,Fungwe
 Khombedza Health Centre,99771,Chivula
 Khombedza Health Centre,99771,Chipusire
